id,text,label
0,america year obamas ideology hillary shithole country,hateful
3,queue fucking retarded feel chance fcfs fucksake,hateful
4,soit pa burundais refugies alerte car leur corp sont visibles loeil nu,hateful
9,bitter cunt arsenal player player fod sold,hateful
11,child refugee,hateful
12,negro default,hateful
16,benefit illegal alien ary working illegally,hateful
21,economic asylum isnut thing ucmy country shitholeud asylum nnhow,hateful
23,man leave week twat nut,hateful
29,twitter club reported left retarded babyu,hateful
33,matter hard retarded math,hateful
36,swear boyfriend partially retarded time,hateful
38,retarded leader paper tiger,hateful
39,selling dvd hahahaha shop gon hate woman counter mongy cunt deseru,hateful
51,dodamage slogan unbelievably stupid itus offenseus goal damage mongoloid boston,hateful
55,grandma called faggot today thatus low,hateful
57,roofe pen eithernnfuck cuntnnwe win game fact takinu,hateful
59,rot shithole chose country,hateful
62,babe ruth dirty jew,hateful
65,pretty dick faggot beat reality check shit,hateful
69,fat mongy mess today udeuddudeudd,hateful
71,fuck ching chong siopao dimsum shit question understand kasi vague,hateful
72,harry style dirty spic munch asshole shame,hateful
77,liberal threaten spic deported supporting trump,hateful
84,yeah long west ham fan fuking retard,hateful
93,dave robert certified retard,hateful
94,fuckin retard,hateful
98,retarded,hateful
101,damn retarded udeuddudcudffduduufef,hateful
103,yuall nigga gay hella faggot shit,hateful
115,feminazis roll fraud,hateful
118,spic polach,hateful
120,feminist called fat twat,hateful
127,exam passed collage fuck mongy place cheeky pay rise beforeu,hateful
128,love negro,hateful
132,mind negroso open mind screen door impressive carterv,hateful
133,skipping shithole city ndetrou,hateful
138,bonge retard,hateful
144,lil corrected fucking retarded ium losing brain cellsu,hateful
155,jonathan chait retarded,hateful
158,hurry faggot wan,hateful
159,white wassup nigger video calling nigger,hateful
161,yeah dodge wager shitter gig retard bruise dad,hateful
170,sick face news feed cunt,hateful
173,calling faggot clapping cheek nigga,hateful
174,charlie sloth mongy cunt,hateful
176,tag denilson spic,hateful
180,sheus africa ya place ucshithole countriesud locateduddudeuddudeuddudeuddude,hateful
190,soulless fucking twat,hateful
203,series knowing machado faggot insult,hateful
205,sort thing shithole country,hateful
206,absolute twat reason sjws told deserve gaybashed juu,hateful
207,fatlus mainstream nigger,hateful
212,baby told beautiful bare face nigger twist,hateful
218,forced deal retarded people everyday,hateful
219,itus faggot,hateful
